QueryID	PMID	ABSTRACT	SCORE	CONCEPTS
1	19928550	"[A case of tuberculosis with multiple lung nodules, abdominal lymphadenopathy, and splenomegaly]."	114.04596	"{""C0520743"": [""mediastinal lymphadenopathy"", [""T047""]], ""C0858195"": [""Mycobacterium tuberculosis"", [""T047""]], ""C0863477"": [""Transbronchial lung biopsy"", [""T060""]], ""C0041316"": [""tuberculous lymphadenitis"", [""T047""]], ""C0260877"": [""Laboratory examination"", [""T033""]], ""C0456973"": [""hilar lymphadenopathy"", [""T046""]], ""C4282165"": [""lymphadenopathy"", [""T184""]], ""C0239574"": [""low grade fever"", [""T033""]], ""C0742257"": [""abnormal chest"", [""T033""]], ""C0332119"": [""past history"", [""T033""]], ""C0442816"": [""normal limit"", [""T033""]], ""C0277785"": [""dysfunction"", [""T046""]], ""C1744706"": [""intolerance"", [""T033""]], ""C0039985"": [""Chest X-ray"", [""T060""]], ""C0040405"": [""tomography"", [""T060""]], ""C0549493"": [""alveolitis"", [""T047""]], ""C0023038"": [""laparotomy"", [""T061""]], ""C1550618"": [""Bronchial"", [""T031""]], ""C0011900"": [""diagnosed"", [""T060""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C1446409"": [""positive"", [""T033""]], ""C2347026"": [""specimen"", [""T031""]], ""C0028259"": [""nodules"", [""T020""]], ""C0030705"": [""patient"", [""T101""]], ""C0087111"": [""therapy"", [""T061""]], ""C0022100"": [""lavage"", [""T061""]], ""C0043299"": [""X-ray"", [""T060""]], ""C3273930"": [""Tumor"", [""T033""]], ""C0024202"": [""lymph"", [""T031""]], ""C0444186"": [""smear"", [""T060""]], ""C0030193"": [""pain"", [""T184""]], ""C0032743"": [""pet"", [""T060""]], ""C0486805"": [""fragments"", [""T031""]], ""C0024299"": [""lymphomas"", [""T191""]], ""C4055506"": [""Accumulation"", [""T033""]], ""C0679362"": [""Extrapulmonary tuberculosis"", [""T047""]], ""C0424641"": [""height loss"", [""T033""]], ""C1519787"": [""Undifferentiated"", [""T191""]], ""C1856555"": [""No splenomegaly"", [""T033""]], ""C3844714"": [""No improvement"", [""T033""]], ""C1855575"": [""Very rare"", [""T033""]], ""C0856882"": [""elevated k"", [""T033""]], ""C5235918"": [""Indefinite"", [""T033""]], ""C3843399"": [""1-4 months"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C0041322"": [""eye tuberculosis"", [""T047""]], ""C4697740"": [""Not demonstrated"", [""T033""]], ""C0599990"": [""p antigen"", [""T033""]], ""C0495669"": [""abdominal and pelvic pain"", [""T184""]], ""C0032927"": [""premalignant"", [""T191""]]}"
2	18180132	Spontaneous superior mesenteric artery (SMA) dissection: an unusual cause of abdominal pain.	110.876366	"{""C0027498"": [""nausea and vomiting"", [""T184""]], ""C0002949"": [""artery dissection"", [""T047""]], ""C1272641"": [""blood pressure"", [""T033""]], ""C0040405"": [""CT scan"", [""T060""]], ""C0234233"": [""tenderness"", [""T184""]], ""C2745965"": [""Emergency"", [""T046""]], ""C0750484"": [""confirmed"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C0332149"": [""possible"", [""T033""]], ""C1509143"": [""Physical"", [""T033""]], ""C0262512"": [""history"", [""T033""]], ""C0030193"": [""pain"", [""T184""]], ""C0441633"": [""scan"", [""T060""]], ""C0425442"": [""Respiratory"", [""T033""]], ""C1306232"": [""severed"", [""T061""]], ""C0011900"": [""Diagnostic"", [""T060""]], ""C0238552"": [""left upper quadrant pain"", [""T184""]], ""C1855801"": [""Ca kidney stone"", [""T033""]], ""C0233256"": [""Malpresentation"", [""T033""]], ""C0449900"": [""contrasted"", [""T060""]], ""C0412297"": [""leg arteriography"", [""T060""]], ""C0232693"": [""bowel sound"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C0427198"": [""Guarding"", [""T033""]]}"
3	21145514	An uncommon cause of hiccups: sarcoidosis presenting solely as hiccups.	101.24832	"{""C0427692"": [""normal complete blood count"", [""T033""]], ""C0027853"": [""neurological examination"", [""T060""]], ""C0333418"": [""non-caseating granuloma"", [""T046""]], ""C0037268"": [""skin abnormalities"", [""T019""]], ""C0749530"": [""tobacco ingestion"", [""T037""]], ""C0497156"": [""lymphadenopathies"", [""T047""]], ""C2243017"": [""needle aspiration"", [""T061""]], ""C0679547"": [""panendoscopy"", [""T060""]], ""C0036202"": [""sarcoidosis"", [""T047""]], ""C0020564"": [""enlargement"", [""T046""]], ""C1318309"": [""core biopsy"", [""T060""]], ""C0041296"": [""tuberculous"", [""T047""]], ""C0008031"": [""chest pain"", [""T184""]], ""C0040405"": [""tomography"", [""T060""]], ""C0014245"": [""Endoscopic"", [""T060""]], ""C0849912"": [""emotional"", [""T033""]], ""C0018681"": [""headaches"", [""T184""]], ""C0205160"": [""negative"", [""T033""]], ""C0019521"": [""hiccups"", [""T033""]], ""C0013404"": [""dyspnea"", [""T184""]], ""C0030705"": [""patient"", [""T101""]], ""C0150312"": [""present"", [""T033""]], ""C0013456"": [""earache"", [""T184""]], ""C0262512"": [""history"", [""T033""]], ""C0220797"": [""biopsy"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0229671"": [""serum"", [""T031""]], ""C0027651"": [""tumor"", [""T191""]], ""C0041582"": [""ulcer"", [""T046""]], ""C0024202"": [""lymph"", [""T031""]], ""C0028778"": [""block"", [""T046""]], ""C0030193"": [""pain"", [""T184""]], ""C2348813"": [""transabdominal ultrasound"", [""T060""]], ""C3842377"": [""Chest radiograph"", [""T060""]], ""C0041618"": [""ultrasounds"", [""T060""]], ""C1333803"": [""Gastrointestinal"", [""T033""]], ""C0037088"": [""finding"", [""T184""]], ""C4054315"": [""Organomegaly"", [""T033""]], ""C0424641"": [""height loss"", [""T033""]], ""C3714614"": [""Distension"", [""T033""]], ""C2973270"": [""Annual physical examination"", [""T061""]], ""C5238693"": [""Excessive"", [""T033""]], ""C1855575"": [""Very rare"", [""T033""]], ""C0332534"": [""Induration"", [""T046""]], ""C0007431"": [""needl"", [""T061""]], ""C0687152"": [""coughs"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C3177142"": [""Main presenting symptom"", [""T184""]], ""C1293134"": [""Enlarged"", [""T061""]], ""C0687725"": [""alcoholic"", [""T101""]], ""C0232805"": [""Normal renal function"", [""T033""]]}"
4	20209770	[Tuberculosis or sarcoidosis].	100.8011	"{""C0442838"": [""bilateral hilar adenopathy"", [""T047""]], ""C0041316"": [""lymph nodes tuberculosis"", [""T047""]], ""C0011906"": [""differential diagnoses"", [""T060""]], ""C0497156"": [""adenopathy"", [""T047""]], ""C0031150"": [""diagnostic laparoscopy"", [""T060""]], ""C0036204"": [""lymph node sarcoidosis"", [""T047""]], ""C0740451"": [""granulomatous disease"", [""T047""]], ""C0456973"": [""hilar lymphadenopathy"", [""T046""]], ""C0021386"": [""necrotizing granuloma"", [""T046""]], ""C4699474"": [""Pathological findings"", [""T033""]], ""C2348813"": [""abdominal ultrasound"", [""T060""]], ""C0232462"": [""decreased appetite"", [""T184""]], ""C0262926"": [""medical history"", [""T033""]], ""C0232493"": [""epigastric pain"", [""T184""]], ""C0028081"": [""night sweats"", [""T184""]], ""C0231230"": [""fatigability"", [""T184""]], ""C0036202"": [""sarcoidosis"", [""T047""]], ""C0039985"": [""Chest X-ray"", [""T060""]], ""C0332448"": [""infiltrate"", [""T046""]], ""C0018188"": [""granuloma"", [""T046""]], ""C0332218"": [""difficult"", [""T033""]], ""C0677042"": [""pathology"", [""T046""]], ""C0850149"": [""dry cough"", [""T184""]], ""C0029053"": [""opacities"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C1446409"": [""positive"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0040405"": [""CT scan"", [""T060""]], ""C0220797"": [""biopsy"", [""T033""]], ""C0038056"": [""sputum"", [""T031""]], ""C0444186"": [""smear"", [""T060""]], ""C0024202"": [""lymph"", [""T031""]], ""C0577559"": [""mass"", [""T033""]], ""C0231218"": [""ill"", [""T184""]], ""C1306645"": [""radiograph"", [""T060""]], ""C0087111"": [""treatments"", [""T061""]], ""C0037088"": [""finding"", [""T184""]], ""C0679362"": [""Extrapulmonary tuberculosis"", [""T047""]], ""C0424641"": [""height loss"", [""T033""]], ""C0449900"": [""contrasted"", [""T060""]], ""C0231530"": [""twitch"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C0267771"": [""retroperitoneal mass"", [""T047""]], ""C0161508"": [""Pois-corticosteroids"", [""T037""]], ""C0041296"": [""tuberculosis"", [""T047""]], ""C0206526"": [""MDR Tuberculosis"", [""T047""]], ""C0151799"": [""Necrosis"", [""T046""]], ""C1293134"": [""Enlarged"", [""T061""]], ""C0332155"": [""untreated"", [""T033""]]}"
5	26577440	Primary gastric tuberculosis presenting as gastric outlet obstruction: a case report and review of the literature.	98.67706	"{""C5441918"": [""Upper gastrointestinal endoscopy"", [""T060""]], ""C0679362"": [""extrapulmonary tuberculosis"", [""T047""]], ""C0034194"": [""gastric outlet obstruction"", [""T046""]], ""C0235592"": [""cervical lymphadenopathy"", [""T047""]], ""C0221151"": [""projectile vomiting"", [""T184""]], ""C0399839"": [""gastro-jejunostomy"", [""T061""]], ""C0024115"": [""pulmonary disease"", [""T047""]], ""C0497156"": [""lymphadenopathies"", [""T047""]], ""C0232493"": [""epigastric pain"", [""T184""]], ""C0038353"": [""dilated stomach"", [""T047""]], ""C1262477"": [""loss of weight"", [""T033""]], ""C0039985"": [""Chest X-ray"", [""T060""]], ""C0041296"": [""tuberculosis"", [""T047""]], ""C0006826"": [""malignancy"", [""T191""]], ""C0040405"": [""tomography"", [""T060""]], ""C0205400"": [""thickening"", [""T033""]], ""C0041582"": [""ulcerated"", [""T046""]], ""C0750484"": [""confirmed"", [""T033""]], ""C1446409"": [""positive"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C0005558"": [""biopsied"", [""T060""]], ""C0033213"": [""problem"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C0003962"": [""ascites"", [""T047""]], ""C0221198"": [""lesion"", [""T033""]], ""C0028259"": [""nodules"", [""T020""]], ""C0030705"": [""patient"", [""T101""]], ""C0677930"": [""primary"", [""T191""]], ""C0543467"": [""surgery"", [""T061""]], ""C0564405"": [""relief"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0024202"": [""lymph"", [""T031""]], ""C0005388"": [""bile"", [""T031""]], ""C0030232"": [""pale"", [""T033""]], ""C0577559"": [""mass"", [""T033""]], ""C0441633"": [""scan"", [""T060""]], ""C5419519"": [""1-3"", [""T033""]], ""C1333803"": [""Gastrointestinal"", [""T033""]], ""C2010848"": [""jaundice"", [""T033""]], ""C0037088"": [""finding"", [""T184""]], ""C4693090"": [""CSF inflammatory cells"", [""T033""]], ""C0085293"": [""hepatitis e"", [""T047""]], ""C1306232"": [""severed"", [""T061""]], ""C5453124"": [""Uneventful"", [""T033""]], ""C1292123"": [""Hematological"", [""T033""]], ""C2973270"": [""Annual physical examination"", [""T061""]], ""C5238767"": [""No involvement"", [""T033""]], ""C3854333"": [""Narrowing"", [""T190""]], ""C1394254"": [""Cryptitis"", [""T047""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0687152"": [""coughs"", [""T033""]], ""C0558507"": [""anal examination"", [""T060""]], ""C0206526"": [""MDR Tuberculosis"", [""T047""]], ""C0041322"": [""eye tuberculosis"", [""T047""]], ""C1293134"": [""Enlarged"", [""T061""]], ""C5238761"": [""Symptoms"", [""T184""]]}"
6	34477524	Lymphadenopathy as a prodrome for systemic lupus erythematous.	98.39585	"{""C0476486"": [""generalized lymphadenopathy"", [""T033""]], ""C0588054"": [""cervical lymph nodes"", [""T023""]], ""C0232498"": [""abdominal tenderness"", [""T184""]], ""C0234246"": [""rebound tenderness"", [""T184""]], ""C0556453"": [""physically active"", [""T033""]], ""C4282165"": [""lymphadenopathy"", [""T184""]], ""C0262926"": [""medical history"", [""T033""]], ""C1504535"": [""extremity rash"", [""T033""]], ""C1509143"": [""Physical exam"", [""T033""]], ""C0024204"": [""lymph nodes"", [""T023""]], ""C0220825"": [""evaluations"", [""T058""]], ""C1299586"": [""difficulty"", [""T033""]], ""C0040405"": [""tomography"", [""T060""]], ""C0025474"": [""mesenteric"", [""T029""]], ""C0234233"": [""tenderness"", [""T184""]], ""C0000726"": [""abdominal"", [""T029""]], ""C0030247"": [""palpation"", [""T060""]], ""C3887704"": [""treatment"", [""T058""]], ""C0700287"": [""report"", [""T058""]], ""C0038999"": [""swelling"", [""T033""]], ""C0240805"": [""prodrome"", [""T184""]], ""C0231218"": [""malaise"", [""T184""]], ""C0230168"": [""abdomen"", [""T029""]], ""C0015672"": [""fatigue"", [""T184""]], ""C0016129"": [""fingers"", [""T023""]], ""C0085593"": [""chills"", [""T184""]], ""C0030797"": [""pelvis"", [""T023""]], ""C0038990"": [""sweats"", [""T033""]], ""C0043262"": [""wrists"", [""T029""]], ""C0015967"": [""fever"", [""T184""]], ""C1561542"": [""month"", [""T170""]], ""C0024131"": [""lupus"", [""T047""]], ""C0013849"": [""email"", [""T170""]], ""C1561543"": [""year"", [""T170""]], ""C0030193"": [""pain"", [""T184""]], ""C1561540"": [""week"", [""T170""]], ""C0441633"": [""scan"", [""T060""]], ""C0015677"": [""fat"", [""T109"", ""T121""]], ""C4055550"": [""Getting out of bed"", [""T170""]], ""C0009993"": [""Copyright"", [""T170""]], ""C0020336"": [""hydroxychloroquine"", [""T109"", ""T121""]], ""C2979880"": [""Subjective"", [""T201""]], ""C0009450"": [""Infectious"", [""T047""]], ""C0443146"": [""Autoimmune"", [""T046""]], ""C3844714"": [""No improvement"", [""T033""]], ""C0184666"": [""admitted"", [""T058""]], ""C0751438"": [""Posterior"", [""T047""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C4331837"": [""Aprior"", [""T109"", ""T121""]], ""C1328018"": [""Therex"", [""T121""]], ""C0423899"": [""bright"", [""T033""]], ""C0229802"": [""retroperitoneal node"", [""T023""]], ""C0150312"": [""present"", [""T033""]], ""C0427198"": [""Guarding"", [""T033""]], ""C5400982"": [""Systemic"", [""T061""]], ""C5238873"": [""Steroids"", [""T033""]], ""C5238761"": [""Symptoms"", [""T184""]], ""C1555324"": [""Inpatient"", [""T058""]], ""C0151576"": [""increased ck"", [""T033""]], ""C3491417"": [""HS-ibuprofen"", [""T109"", ""T121""]]}"
7	34489256	Symptomatic isolated axillary lymph node sarcoidosis: an unusual presentation.	96.82296	"{""C0032743"": [""positron emission tomography scan"", [""T060""]], ""C0012328"": [""dihydroxycholecalciferol"", [""T127"", ""T109"", ""T121""]], ""C0578735"": [""axillary lymphadenopathy"", [""T046""]], ""C0036204"": [""lymph node sarcoidosis"", [""T047""]], ""C0729594"": [""axillary lymph nodes"", [""T023""]], ""C0442973"": [""ultrasound guidance"", [""T060""]], ""C0020437"": [""hypercalcaemia"", [""T047""]], ""C0460004"": [""head and neck"", [""T029""]], ""C0036202"": [""sarcoidosis"", [""T047""]], ""C0024204"": [""lymph nodes"", [""T023""]], ""C5401020"": [""suppressed"", [""T033""]], ""C0000726"": [""abdominal"", [""T029""]], ""C0750484"": [""confirmed"", [""T033""]], ""C1704324"": [""Published"", [""T170""]], ""C0184666"": [""admitted"", [""T058""]], ""C0040405"": [""CT scans"", [""T060""]], ""C0005558"": [""biopsied"", [""T060""]], ""C0700287"": [""reported"", [""T058""]], ""C0262512"": [""history"", [""T033""]], ""C1527305"": [""feeling"", [""T041""]], ""C0230168"": [""abdomen"", [""T029""]], ""C2674459"": [""Limited"", [""T033""]], ""C0030797"": [""pelvis"", [""T023""]], ""C1553386"": [""normal"", [""T170""]], ""C5238549"": [""active"", [""T170""]], ""C0817096"": [""chest"", [""T029""]], ""C1561557"": [""Group"", [""T031""]], ""C1561543"": [""year"", [""T170""]], ""C1561540"": [""week"", [""T170""]], ""C0030193"": [""pain"", [""T184""]], ""C0018670"": [""head"", [""T029""]], ""C1552578"": [""investigation"", [""T170""]], ""C0030518"": [""parathyroids"", [""T023""]], ""C0680536"": [""commercials"", [""T170""]], ""C3641755"": [""Constipation"", [""T170""]], ""C1306232"": [""severed"", [""T061""]], ""C1261259"": [""wrights"", [""T130"", ""T109""]], ""C1514893"": [""Resolution"", [""T046""]], ""C0046056"": [""F18, Fluorodeoxyglucose"", [""T130"", ""T109""]], ""C0856882"": [""elevated k"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C5238761"": [""Symptoms"", [""T184""]], ""C1555324"": [""Inpatient"", [""T058""]], ""C0722742"": [""prednisol"", [""T109"", ""T121""]], ""C1524004"": [""Permission"", [""T170""]]}"
8	15336585	Cases from the Osler Medical Service at Johns Hopkins University. Diagnosis: P. carinii pneumonia and primary pulmonary sporotrichosis.	94.60806	"{""C1956415"": [""paroxysmal nocturnal dyspnea"", [""T047""]], ""C0027853"": [""neurologic examinations"", [""T060""]], ""C0239295"": [""esophageal candidiasis"", [""T047""]], ""C0552479"": [""history of alcohol use"", [""T033""]], ""C1963724"": [""antiretroviral therapy"", [""T061""]], ""C0239340"": [""lower extremity edema"", [""T046""]], ""C0231807"": [""dyspnea on exertion"", [""T184""]], ""C0239134"": [""cough productive"", [""T033""]], ""C0751534"": [""syncopal episode"", [""T184""]], ""C0262926"": [""medical history"", [""T033""]], ""C0425310"": [""stopped smoking"", [""T033""]], ""C0392877"": [""injection drug"", [""T061""]], ""C1272641"": [""blood pressure"", [""T033""]], ""C0236053"": [""mucosal ulcers"", [""T047""]], ""C0229665"": [""arterial blood"", [""T031""]], ""C1321898"": [""hematochezia"", [""T184""]], ""C1535939"": [""Pneumocystis"", [""T047""]], ""C0018926"": [""hematemesis"", [""T184""]], ""C3827868"": [""tachycardia"", [""T033""]], ""C0332448"": [""infiltrates"", [""T046""]], ""C0008031"": [""chest pain"", [""T184""]], ""C0019079"": [""hemoptysis"", [""T184""]], ""C0376705"": [""viral load"", [""T033""]], ""C0518014"": [""hematocrit"", [""T033""]], ""C1306645"": [""radiograph"", [""T060""]], ""C0042571"": [""dizziness"", [""T184""]], ""C0085619"": [""orthopnea"", [""T033""]], ""C1561565"": [""CD4 count"", [""T033""]], ""C0006625"": [""cachectic"", [""T184""]], ""C0031256"": [""petechiae"", [""T047""]], ""C2010848"": [""jaundice"", [""T033""]], ""C0011991"": [""diarrhea"", [""T184""]], ""C0013922"": [""embolism"", [""T046""]], ""C0205160"": [""negative"", [""T033""]], ""C0262512"": [""history"", [""T033""]], ""C0013404"": [""dyspnea"", [""T184""]], ""C0039070"": [""syncope"", [""T184""]], ""C0030705"": [""patient"", [""T101""]], ""C0028259"": [""nodules"", [""T020""]], ""C0015967"": [""fevers"", [""T184""]], ""C0085593"": [""chills"", [""T184""]], ""C0038056"": [""sputum"", [""T031""]], ""C0025222"": [""melena"", [""T046""]], ""C0006849"": [""thrush"", [""T047""]], ""C0015230"": [""rashes"", [""T184""]], ""C0041582"": [""ulcers"", [""T046""]], ""C0022100"": [""lavage"", [""T061""]], ""C0005768"": [""blood"", [""T031""]], ""C0229671"": [""serum"", [""T031""]], ""C0441633"": [""scan"", [""T060""]], ""C0596601"": [""gas"", [""T184""]], ""C0013798"": [""Electrocardiograms"", [""T060""]], ""C0011168"": [""dysphagias"", [""T047""]], ""C0521530"": [""Consolidation"", [""T047""]], ""C1855166"": [""No immunodeficiency"", [""T033""]], ""C1444662"": [""Discontinued"", [""T033""]], ""C5238667"": [""Intermittent"", [""T033""]], ""C4697773"": [""Ground glass"", [""T033""]], ""C5238735"": [""Medications"", [""T033""]], ""C0424641"": [""height loss"", [""T033""]], ""C0425442"": [""Respiratory"", [""T033""]], ""C0746961"": [""Desaturation"", [""T033""]], ""C0853986"": [""low lymphocyte count"", [""T033""]], ""C0743330"": [""shortness of breath rest"", [""T033""]], ""C0233256"": [""Malpresentation"", [""T033""]], ""C2973270"": [""Annual physical examination"", [""T061""]], ""C4482998"": [""Rh.presumptive"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C1549114"": [""Unreported"", [""T033""]], ""C0449900"": [""contrasted"", [""T060""]], ""C0687152"": [""coughs"", [""T033""]], ""C4073168"": [""Abnormal lactate dehydrogenase level"", [""T033""]], ""C1441534"": [""Computed tomography 3D"", [""T060""]], ""C0221106"": [""increasing ph"", [""T047""]], ""C0150312"": [""present"", [""T033""]], ""C5238761"": [""Symptoms"", [""T184""]], ""C0004093"": [""Weakness"", [""T184""]], ""C0332155"": [""untreated"", [""T033""]]}"
9	16022478	[Four cases of the tuberculous adenitis].	92.672195	"{""C4282165"": [""lymphadenopathy"", [""T184""]], ""C0520743"": [""mediastinal lymphadenopathy"", [""T047""]], ""C0041316"": [""tuberculous adenitis"", [""T047""]], ""C0232495"": [""lower abdominal pain"", [""T184""]], ""C0232492"": [""upper abdominal pain"", [""T184""]], ""C0198373"": [""thoracoscopic biopsy"", [""T060""]], ""C0239574"": [""low grade fever"", [""T033""]], ""C0392920"": [""chemotherapy"", [""T061""]], ""C0009759"": [""conjunctiva"", [""T047""]], ""C0041296"": [""tuberculous"", [""T047""]], ""C0029921"": [""outpatient"", [""T101""]], ""C0011900"": [""diagnosed"", [""T060""]], ""C0027627"": [""secondary"", [""T191""]], ""C0003123"": [""anorexia"", [""T047""]], ""C0205161"": [""abnormal"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0022346"": [""icteric"", [""T184""]], ""C0038056"": [""sputum"", [""T031""]], ""C0220797"": [""biopsy"", [""T033""]], ""C0006826"": [""cancer"", [""T191""]], ""C0043299"": [""X-ray"", [""T060""]], ""C0229671"": [""serum"", [""T031""]], ""C0024202"": [""lymph"", [""T031""]], ""C0015967"": [""fever"", [""T184""]], ""C0005388"": [""bile"", [""T031""]], ""C1446409"": [""rule"", [""T033""]], ""C0024299"": [""lymphomas"", [""T191""]], ""C5238761"": [""Symptoms"", [""T184""]], ""C1829459"": [""Decompression"", [""T061""]], ""C2973270"": [""Annual physical examination"", [""T061""]], ""C3840878"": [""Hospitalization 1"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0203463"": [""Lung ultrasonography"", [""T060""]], ""C0041322"": [""eye tuberculosis"", [""T047""]], ""C4699613"": [""<2 years"", [""T033""]], ""C0019158"": [""hepatitis"", [""T047""]], ""C0032927"": [""premalignant"", [""T191""]]}"
10	10961181	Small bowel haemangioma with local lymph node involvement presenting as intussusception.	91.701225	"{""C0021841"": [""intestinal neoplasms"", [""T191""]], ""C2348813"": [""Abdominal ultrasound"", [""T060""]], ""C0740553"": [""lower abdominal mass"", [""T033""]], ""C1333803"": [""Gastrointestinal"", [""T033""]], ""C0021933"": [""intussusception"", [""T047""]], ""C0018916"": [""haemangioma"", [""T191""]], ""C0699748"": [""pathogenesis"", [""T046""]], ""C0040405"": [""tomography"", [""T060""]], ""C0023038"": [""Laparotomy"", [""T061""]], ""C0019080"": [""bleeding"", [""T046""]], ""C0042963"": [""vomiting"", [""T184""]], ""C0150312"": [""present"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0027651"": [""tumour"", [""T191""]], ""C0332148"": [""likely"", [""T033""]], ""C0024202"": [""lymph"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C0441633"": [""scan"", [""T060""]], ""C0018552"": [""hamartomatous"", [""T191""]], ""C0236124"": [""GI obstruction"", [""T047""]], ""C5238767"": [""No involvement"", [""T033""]], ""C1549114"": [""Unreported"", [""T033""]], ""C1514819"": [""Regional"", [""T033""]], ""C1293134"": [""Enlarged"", [""T061""]]}"
