,code,Frequency_across_Pubmed,Title
0,C0027651,1426701,NEOPLASMS
1,C0006826,1351975,Malignant neoplasm without specification of site
2,C0000768,1043923,CONGENITAL ANOMALIES
3,C0030193,466792,PAIN
4,C0011849,433157,Diabetes mellitus
5,C0019080,272442,Hemorrhage NOS
6,C0024523,244927,Unspecified intestinal malabsorption
7,C0016658,189731,FRACTURES
8,C0015967,180639,Fever NOS
9,C1457887,172744,SYMPTOMS
10,C0012691,167395,DISLOCATION
11,C0020621,166506,Hypopotassemia
12,C0036974,161964,Shock NOS
13,C0010054,157126,Coronary atherosclerosis
14,C0018790,140253,Cardiac arrest
15,C0018801,133127,"Heart failure, unspecified"
16,C0004096,129070,"Asthma, unspecified"
17,C0023418,127797,Unspecified leukemia
18,C0013604,127255,Edema
19,C0002395,122133,Alzheimer's disease
20,C0023895,115102,Unspecified disorder of liver
21,C0729233,112479,"Dissection of aorta, thoracic"
22,C0014544,104459,"Epilepsy, unspecified"
23,C0151526,96751,Early onset of delivery
24,C0036690,95512,Septicemia NOS
25,C0018799,93747,Heart disease NOS
26,C0036341,91621,"Unspecified schizophrenia, unspecified"
27,C0002871,91423,Anemia NOS
28,C0011991,81361,Diarrhea
29,C0003811,76865,"Cardiac dysrhythmia, unspecified"
30,C0018681,72565,Headache
31,C0030286,70136,Pancreatic disease NOS
32,C0041296,67042,TUBERCULOSIS
33,C0006111,66960,Unspecified condition of brain
34,C0024530,66010,Malaria
35,C0026769,65227,Multiple sclerosis
36,C0019693,62929,Human immunodeficiency virus [HIV] disease
37,C0340464,52896,Premature beats
38,C0013404,52807,Shortness of breath
39,C0021831,51797,Unspecified disorder of intestine
40,C0155626,49489,"Acute myocardial infarction of unspecified site, episode of care unspecified"
41,C0020649,48796,Hypotension NOS
42,C0686619,48386,Secondary and unspecified malignant neoplasm of lymph nodes
43,C1135241,46157,Weeks of gestation
44,C0026764,44866,Multiple myeloma
45,C0006434,44518,BURNS
46,C0022661,44451,End stage renal disease
47,C0020615,43595,Hypoglycemia NOS
48,C0152915,42502,Acute miliary tuberculosis
49,C0010823,39245,Cytomegaloviral disease
