cui_code,icd_code1,category,icd_code2,title
C0000737,789.0,ICD9CM,7890,Abdominal pain
C0000737,789.00,ICD9CM,78900,"Abdominal pain, unspecified site"
C0000737,789.00,ICD9CM,78900,Abdmnal pain unspcf site
C0000768,740-759.99,ICD9CM,740-75999,CONGENITAL ANOMALIES
C0000768,759.9,ICD9CM,7599,Congenital anomaly NOS
C0000768,759.9,ICD9CM,7599,"Congenital anomaly, unspecified"
C0000770,520.2,ICD9CM,5202,Abnormalities of size and form of teeth
C0000770,520.2,ICD9CM,5202,Abnormal tooth size/form
C0000774,251.5,ICD9CM,2515,Abnormality of secretion of gastrin
C0000774,251.5,ICD9CM,2515,Abnorm secretion gastrin
C0000786,634,ICD9CM,634,Spontaneous abortion
C0000804,636,ICD9CM,636,Illegally induced abortion
C0000814,632,ICD9CM,632,Missed abortion
C0000814,632,ICD9CM,632,Missed abortion
C0000821,640.0,ICD9CM,6400,Threatened abortion
C0000821,640.03,ICD9CM,64003,"Threatened abortion, antepartum condition or complication"
C0000821,640.03,ICD9CM,64003,Threaten abort-antepart
C0000827,919.0,ICD9CM,9190,"Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection"
C0000827,919.0,ICD9CM,9190,Abrasion NEC
C0000832,641.2,ICD9CM,6412,Premature separation of placenta
C0000832,641.20,ICD9CM,64120,"Premature separation of placenta, unspecified as to episode of care or not applicable"
C0000832,641.20,ICD9CM,64120,Prem separ placen-unspec
C0000908,E924.1,ICD9CM,E9241,Accident caused by caustic and corrosive substances
C0000908,E924.1,ICD9CM,E9241,Accid-caustic substance
C0000909,E900.0,ICD9CM,E9000,Accident caused by excessive heat due to weather conditions
C0000909,E900.0,ICD9CM,E9000,Excessive heat: weather
C0000912,E899,ICD9CM,E899,Accident caused by unspecified fire
C0000912,E899,ICD9CM,E899,Fire accident NOS
C0000914,E902.2,ICD9CM,E9022,Accident due to changes in air pressure due to diving
C0000914,E902.2,ICD9CM,E9022,Air press change: diving
C0000915,E907,ICD9CM,E907,Accident due to lightning
C0000915,E907,ICD9CM,E907,Acc due to lightning
C0000916,E902.0,ICD9CM,E9020,Accident due to residence or prolonged visit at high altitude
C0000916,E902.0,ICD9CM,E9020,High altitude residence
C0000921,E880-E888.9,ICD9CM,E880-E8889,ACCIDENTAL FALLS
C0000922,E913.9,ICD9CM,E9139,Accidental mechanical suffocation by unspecified means
C0000922,E913.9,ICD9CM,E9139,Suffocation NOS
C0000923,E865.2,ICD9CM,E8652,Accidental poisoning from other fish
C0000923,E865.2,ICD9CM,E8652,Acc poison-fish NEC
C0000926,E900.9,ICD9CM,E9009,Accidents due to excessive heat of unspecified origin
C0000926,E900.9,ICD9CM,E9009,Excessive heat NOS
C0000929,E849.0,ICD9CM,E8490,Home accidents
C0000929,E849.0,ICD9CM,E8490,Accident in home
C0001075,536.0,ICD9CM,5360,Achlorhydria
C0001075,536.0,ICD9CM,5360,Achlorhydria
C0001122,276.2,ICD9CM,2762,Acidosis
C0001122,276.2,ICD9CM,2762,Acidosis
C0001163,388.5,ICD9CM,3885,Disorders of acoustic nerve
C0001163,388.5,ICD9CM,3885,Acoustic nerve disorders
C0001169,286.7,ICD9CM,2867,Acquired coagulation factor deficiency
C0001169,286.7,ICD9CM,2867,Acq coagul factor defic
C0001170,380.32,ICD9CM,38032,Acquired deformities of auricle or pinna
C0001170,380.32,ICD9CM,38032,Acq deform auricle/pinna
C0001171,738.3,ICD9CM,7383,Acquired deformity of chest and rib
C0001171,738.3,ICD9CM,7383,Acq chest deformity
C0001261,039.9,ICD9CM,0399,Actinomycosis NOS
C0001261,039.9,ICD9CM,0399,Actinomycotic infection of unspecified site
C0001261,039,ICD9CM,039,Actinomycotic infections
C0001263,039.2,ICD9CM,0392,Abdominal actinomycosis
C0001263,039.2,ICD9CM,0392,Abdominal actinomycotic infection
C0001264,039.3,ICD9CM,0393,Cervicofacial actinomycotic infection
C0001264,039.3,ICD9CM,0393,Cervicofac actinomycosis
C0001265,039.8,ICD9CM,0398,Actinomycotic infection of other specified sites
C0001265,039.8,ICD9CM,0398,Actinomycosis NEC
C0001301,99.91,ICD9CM,9991,Anesthesia acupuncture
C0001301,99.91,ICD9CM,9991,Acupuncture for anesthesia
C0001306,571.1,ICD9CM,5711,Acute alcoholic hepatitis
C0001306,571.1,ICD9CM,5711,Ac alcoholic hepatitis
C0001308,570,ICD9CM,570,Acute and subacute necrosis of liver
C0001308,570,ICD9CM,570,Acute necrosis of liver
C0001309,372.05,ICD9CM,37205,Acute atopic conjunctivitis
C0001309,372.05,ICD9CM,37205,Ac atopic conjunctivitis
C0001311,466.1,ICD9CM,4661,Acute bronchiolitis
C0001317,207.0,ICD9CM,2070,Acute erythremia and erythroleukemia
C0001327,464.0,ICD9CM,4640,Acute laryngitis
C0001339,577.0,ICD9CM,5770,Acute pancreatitis
C0001339,577.0,ICD9CM,5770,Acute pancreatitis
C0001342,523.33,ICD9CM,52333,Acute periodontitis
C0001342,523.33,ICD9CM,52333,Acute periodontitis
C0001342,523.3,ICD9CM,5233,Aggressive and acute periodontitis
C0001344,462,ICD9CM,462,Acute pharyngitis
C0001344,462,ICD9CM,462,Acute pharyngitis
C0001360,245.0,ICD9CM,2450,Acute thyroiditis
C0001360,245.0,ICD9CM,2450,Acute thyroiditis
C0001361,463,ICD9CM,463,Acute tonsillitis
C0001361,463,ICD9CM,463,Acute tonsillitis
C0001363,557.0,ICD9CM,5570,Acute vascular insufficiency of intestine
C0001363,557.0,ICD9CM,5570,Ac vasc insuff intestine
C0001365,436,ICD9CM,436,"Acute, but ill-defined, cerebrovascular disease"
C0001365,436,ICD9CM,436,Cva
C0001425,28.6,ICD9CM,286,Adenoidectomy
C0001425,28.6,ICD9CM,286,Adenoidectomy without tonsillectomy
C0001485,079.0,ICD9CM,0790,Adenovirus infection in conditions classified elsewhere and of unspecified site
C0001485,079.0,ICD9CM,0790,Adenovirus infect NOS
C0001539,309.0,ICD9CM,3090,Adjustment disorder with depressed mood
C0001539,309.0,ICD9CM,3090,Adjustmnt dis w depressn
C0001540,309.3,ICD9CM,3093,Adjustment disorder with disturbance of conduct
C0001540,309.3,ICD9CM,3093,Adjust disor/dis conduct
C0001541,309.4,ICD9CM,3094,Adjustment disorder with mixed disturbance of emotions and conduct
C0001541,309.4,ICD9CM,3094,Adj dis-emotion/conduct
C0001621,255.9,ICD9CM,2559,Unspecified disorder of adrenal glands
C0001621,255.9,ICD9CM,2559,Adrenal disorder NOS
C0001621,255,ICD9CM,255,Disorders of adrenal glands
C0001815,238.76,ICD9CM,23876,Myelofibrosis with myeloid metaplasia
C0001815,238.76,ICD9CM,23876,Myelofi w myelo metaplas
C0001819,300.22,ICD9CM,30022,Agoraphobia without mention of panic attacks
C0001819,300.22,ICD9CM,30022,Agoraphobia w/o panic
C0001860,136.0,ICD9CM,1360,Ainhum
C0001860,136.0,ICD9CM,1360,Ainhum
C0001906,050.1,ICD9CM,0501,Alastrim
C0001906,050.1,ICD9CM,0501,Alastrim
C0001940,291.1,ICD9CM,2911,Alcohol-induced persisting amnestic disorder
C0001940,291.1,ICD9CM,2911,Alcohol amnestic disordr
C0001950,291.4,ICD9CM,2914,Idiosyncratic alcohol intoxication
C0001950,291.4,ICD9CM,2914,Pathologic alcohol intox
C0001957,291.0,ICD9CM,2910,Alcohol withdrawal delirium
C0001957,291.0,ICD9CM,2910,Delirium tremens
C0001973,303,ICD9CM,303,Alcohol dependence syndrome
C0002018,315.01,ICD9CM,31501,Alexia
C0002018,315.01,ICD9CM,31501,Alexia
C0002019,784.61,ICD9CM,78461,Alexia and dyslexia
C0002019,784.61,ICD9CM,78461,Alexia and dyslexia
C0002063,276.3,ICD9CM,2763,Alkalosis
C0002063,276.3,ICD9CM,2763,Alkalosis
C0002170,704.0,ICD9CM,7040,Alopecia
C0002170,704.00,ICD9CM,70400,Alopecia NOS
C0002170,704.00,ICD9CM,70400,"Alopecia, unspecified"
C0002171,704.01,ICD9CM,70401,Alopecia areata
C0002171,704.01,ICD9CM,70401,Alopecia areata
C0002181,091.82,ICD9CM,09182,Syphilitic alopecia
C0002181,091.82,ICD9CM,09182,Syphilitic alopecia
C0002312,282.43,ICD9CM,28243,Alpha thalassemia
C0002312,282.43,ICD9CM,28243,Alpha thalassemia
C0002390,495,ICD9CM,495,Extrinsic allergic alveolitis
C0002390,495.9,ICD9CM,4959,Unspecified allergic alveolitis and pneumonitis
C0002390,495.9,ICD9CM,4959,Allerg alveol/pneum NOS
C0002393,24.5,ICD9CM,245,Alveoloplasty
C0002393,24.5,ICD9CM,245,Alveoloplasty
C0002395,331.0,ICD9CM,3310,Alzheimer's disease
C0002395,331.0,ICD9CM,3310,Alzheimer's disease
C0002418,368.00,ICD9CM,36800,Amblyopia NOS
C0002418,368.00,ICD9CM,36800,"Amblyopia, unspecified"
C0002438,006,ICD9CM,006,Amebiasis
C0002438,006.9,ICD9CM,0069,Amebiasis NOS
C0002438,006.9,ICD9CM,0069,"Amebiasis, unspecified"
C0002453,626.0,ICD9CM,6260,Absence of menstruation
